576,-53,-754,-1205
577,-64,-779,-1227
578,-69,-798,-1248
579,-80,-811,-1268
580,-91,-818,-1287
581,-75,-818,-1305
582,-58,-815,-1322
583,-53,-813,-1339
584,-47,-811,-1354
585,-53,-811,-1365
586,-58,-812,-1372
587,-31,-813,-1376
588,-135,-815,-1379
589,-727,-815,-1382
590,-1604,-817,-1385
591,-32768,-818,-1388
592,-32768,-819,-1391
593,-32768,-822,-1393
594,-32768,-825,-1394
595,-947,-829,-1394
596,-453,-833,-1393
597,-157,-838,-1392
598,50,-842,-1390
599,232,-846,-1387
600,346,-850,-1385
601,429,-854,-1385
602,456,-859,-1387
603,462,-865,-1390
604,456,-870,-1394
605,467,-876,-1398
606,495,-882,-1402
607,467,-888,-1406
608,456,-893,-1410
609,467,-899,-1413
610,544,-903,-1416
611,572,-905,-1419
612,572,-901,-1421
613,599,-885,-1419
614,632,-847,-1414
615,708,-782,-1407
616,780,-697,-1399
617,862,-615,-1391
618,906,-554,-1383
619,955,-517,-1376
620,944,-498,-1368
621,933,-490,-1358
622,868,-487,-1346
623,796,-487,-1333
624,632,-490,-1320
625,473,-493,-1310
626,292,-500,-1302
627,155,-509,-1295
628,56,-523,-1290
629,-14,-540,-1285
630,-53,-562,-1280
631,-20,-586,-1275
632,-31,-614,-1270
633,-80,-642,-1266
634,-97,-672,-1262
635,-113,-702,-1258
636,-86,-733,-1254
637,-69,-764,-1251
638,-91,-793,-1250
639,-91,-819,-1250
640,-64,-840,-1248
641,-69,-853,-1242
642,-69,-859,-1233
643,-53,-860,-1221
644,-20,-857,-1207
645,-25,-854,-1192
646,-47,-852,-1177
647,-64,-852,-1161
648,-47,-853,-1145
649,1,-854,-1128
650,-212,-854,-1111
651,-969,-854,-1094
652,-32768,-856,-1075
653,-32768,-858,-1053
654,-32768,-861,-1029
655,-32768,-866,-1003
656,-1418,-872,-977
657,-656,-877,-952
658,-294,-883,-927
659,-25,-888,-903
660,166,-893,-879
661,270,-897,-854
662,319,-902,-829
663,412,-907,-803
664,462,-911,-776
665,500,-916,-747
666,500,-922,-717
667,566,-928,-686
668,572,-934,-653
669,550,-940,-618
670,566,-947,-581
671,522,-953,-543
672,550,-958,-506
673,572,-960,-473
674,653,-958,-443
675,659,-945,-415
676,708,-912,-387
677,802,-854,-357
678,884,-778,-324
679,960,-700,-289
680,966,-637,-252
681,1043,-594,-212
682,1054,-568,-170
683,1010,-554,-126
684,922,-547,-80
685,807,-546,-32
686,599,-549,17
687,467,-554,67
688,330,-561,119
689,193,-572,173
690,89,-585,228
691,45,-603,285
692,18,-623,341
693,-14,-647,395
694,-25,-672,447
695,-36,-700,497
696,-47,-728,544
697,-64,-758,585
698,-58,-786,622
699,-42,-815,655
700,-20,-842,685
701,-36,-865,712
702,-47,-881,736
703,-53,-890,758
704,-9,-891,777
705,-25,-887,792
706,-20,-881,803
707,-20,-875,811
708,-20,-869,815
709,-14,-865,814
710,12,-861,809
711,-47,-858,800
712,-568,-856,785
713,-1555,-855,762
714,-32768,-855,731
715,-32768,-855,693
716,-32768,-857,649
717,-32768,-858,598
718,-936,-858,542
719,-409,-858,481
720,-80,-858,419
721,127,-856,358
722,281,-854,298
723,407,-853,239
724,451,-852,181
725,517,-853,125
726,544,-854,71
727,566,-857,18
728,566,-860,-32
729,528,-864,-77
730,533,-868,-117
731,544,-872,-154
732,550,-875,-189
733,572,-878,-223
734,605,-880,-257
735,653,-879,-291
736,697,-872,-323
737,752,-849,-353
738,824,-804,-380
739,890,-738,-405
740,977,-665,-428
741,1032,-599,-448
742,1076,-552,-466
743,1076,-522,-482
744,1059,-505,-496
745,993,-497,-510
746,895,-493,-524
747,730,-495,-537
748,560,-499,-550
749,379,-505,-563
750,237,-514,-575
751,188,-526,-587
752,122,-542,-603
753,56,-560,-626
754,23,-581,-655
755,-3,-604,-689
756,-25,-630,-725
757,-64,-658,-759
758,-69,-686,-791
759,-53,-715,-822
760,-25,-744,-852
761,-20,-771,-883
762,-25,-794,-915
763,-31,-811,-948
764,-36,-823,-979
765,-31,-827,-1006
766,-25,-826,-1029
767,-25,-824,-1049
768,-42,-821,-1067
769,-64,-820,-1085
770,-64,-821,-1103
771,-31,-823,-1121
772,-3,-825,-1138
773,-179,-828,-1155
774,-875,-829,-1172
775,-32768,-831,-1189
776,-32768,-833,-1205
777,-32768,-834,-1219
778,-32768,-836,-1232
779,-1632,-840,-1244
780,-826,-843,-1255
781,-387,-847,-1264
782,-113,-851,-1271
783,89,-855,-1277
784,243,-859,-1282
785,319,-863,-1287
786,363,-868,-1292
787,418,-872,-1297
788,434,-878,-1302
789,445,-883,-1307
790,478,-888,-1312
791,478,-894,-1317
792,484,-900,-1321
793,451,-905,-1324
794,451,-910,-1326
795,500,-915,-1327
796,539,-916,-1328
797,615,-911,-1331
798,637,-890,-1335
799,653,-847,-1341
800,692,-775,-1346
801,758,-688,-1348
802,813,-608,-1348
803,933,-550,-1346
804,999,-515,-1343
805,966,-498,-1338
806,955,-492,-1332
807,873,-491,-1325
808,708,-493,-1318
809,500,-497,-1313
810,253,-502,-1309
811,199,-509,-1307
812,116,-520,-1305
813,-20,-534,-1304
814,-91,-553,-1304
815,-141,-575,-1305
816,-218,-600,-1304
817,-251,-629,-1299
818,-278,-658,-1290
819,-245,-689,-1278
820,-251,-720,-1264
821,-273,-751,-1250
822,-343,-782,-1235
823,-387,-810,-1219
824,-267,-833,-1201
825,-251,-851,-1180
826,-289,-861,-1157
827,-300,-865,-1132
828,-327,-863,-1104
829,-382,-859,-1072
830,-306,-856,-1036
831,-327,-855,-997
832,-360,-855,-956
833,-294,-854,-912
834,-311,-854,-866
835,-678,-854,-818
836,-1418,-854,-769
837,-32768,-855,-719
838,-32768,-857,-668
839,-32768,-860,-615
840,-32768,-865,-563
841,-1539,-869,-513
842,-919,-875,-464
843,-596,-879,-416
844,-415,-884,-366
845,-283,-888,-311
846,-229,-891,-252
847,-141,-895,-189
848,-47,-899,-121
849,-42,-903,-45
850,-119,-908,38
851,-245,-913,127
852,-300,-918,218
853,-295,-924,308
854,-273,-929,398
855,-212,-934,488
856,18,-939,578
857,193,-943,667
858,462,-944,756
859,796,-940,845
860,1136,-922,933
861,1503,-883,1021
862,1750,-821,1109
863,1849,-745,1197
864,1794,-672,1284
865,1805,-615,1369
866,1827,-577,1453
867,2000,-554,1536
868,2047,-540,1616
869,2047,-536,1692
870,2004,-536,1764
871,1827,-540,1832
872,1553,-547,1896
873,1268,-555,1955
874,944,-565,2009
875,769,-579,2047
876,527,-596,2047
877,303,-616,2047
878,171,-639,2047
879,83,-665,2047
880,-3,-691,2047
881,-80,-719,2047
882,-47,-747,2047
883,45,-775,2047
884,89,-800,2003
885,45,-820,1934
886,7,-833,1853
887,89,-838,1763
888,204,-835,1668
889,243,-828,1571
890,319,-819,1473
891,341,-811,1374
892,346,-804,1274
893,324,-798,1172
894,423,-794,1068
895,484,-790,963
896,412,-785,857
897,-168,-780,752
898,-1128,-777,647
899,-32768,-775,542
900,-32768,-774,437
901,-32768,-775,332
902,-1127,-775,227
903,-206,-777,123
904,160,-779,20
905,456,-781,-82
906,725,-783,-183
907,857,-786,-283
908,906,-789,-379
909,928,-793,-469
910,928,-797,-555
911,933,-803,-636
912,857,-809,-712
913,879,-816,-783
914,835,-823,-850
915,730,-829,-913
916,621,-835,-970
917,561,-840,-1019
918,467,-843,-1061
919,495,-844,-1097
920,610,-840,-1131
921,659,-825,-1166
922,686,-792,-1202
923,692,-734,-1239
924,648,-658,-1275
925,664,-580,-1309
926,769,-516,-1342
927,802,-472,-1373
928,708,-447,-1402
929,675,-432,-1429
930,670,-425,-1454
931,533,-425,-1477
932,292,-425,-1499
933,72,-429,-1522
934,-53,-433,-1546
935,-113,-443,-1570
936,-135,-455,-1590
937,-218,-471,-1602
938,-354,-490,-1606
939,-442,-511,-1603
940,-514,-536,-1591
941,-607,-561,-1567
942,-613,-586,-1533
943,-591,-611,-1490
944,-404,-636,-1438
945,-311,-661,-1377
946,-404,-686,-1308
947,-459,-708,-1232
948,-486,-723,-1152
949,-519,-729,-1072
950,-530,-727,-992
951,-459,-722,-912
952,-387,-718,-835
953,-311,-715,-765
954,-376,-715,-700
955,-426,-717,-639
956,-420,-721,-587
957,-437,-726,-548
958,-700,-733,-521
959,-1210,-739,-504
960,-32768,-744,-498
961,-32768,-749,-506
962,-32768,-754,-526
963,-32768,-760,-556
964,-1369,-768,-594
965,-727,-775,-637
966,-596,-783,-685
967,-514,-791,-737
968,-278,-798,-790
969,-42,-805,-841
970,155,-811,-890
971,188,-818,-938
972,199,-823,-983
973,177,-828,-1024
974,100,-833,-1062
975,-42,-838,-1097
976,50,-846,-1131
977,34,-855,-1164
978,226,-865,-1197
979,385,-873,-1230
980,259,-878,-1259
981,270,-877,-1278
982,243,-868,-1289
983,270,-843,-1293
984,281,-792,-1290
985,297,-717,-1281
986,741,-636,-1267
987,730,-569,-1248
988,796,-522,-1222
989,829,-492,-1187
990,769,-473,-1145
991,714,-463,-1096
992,659,-458,-1040
993,533,-460,-977
994,385,-465,-908
995,199,-474,-834
996,72,-486,-752
997,-97,-501,-660
998,-113,-520,-560
999,-135,-542,-452
1000,-163,-567,-336
1001,-218,-594,-211
1002,-245,-623,-77
1003,-294,-654,64
1004,-306,-683,206
1005,-262,-714,345
1006,-251,-743,481
1007,-251,-768,615
1008,-223,-790,745
1009,-251,-804,870
1010,-256,-810,990
1011,-262,-808,1105
1012,-267,-801,1213
1013,-240,-793,1310
1014,-284,-786,1398
1015,-321,-781,1478
1016,-360,-779,1546
1017,-332,-779,1599
1018,-338,-781,1638
1019,-486,-783,1665
1020,-1095,-784,1679
1021,-32768,-786,1679
1022,-32768,-788,1667
1023,-32768,-791,1644
1024,-32768,-794,1612
1025,-32768,-797,1572
1026,-1341,-798,1525
1027,-881,-799,1472
1028,-448,-799,1414
1029,-168,-800,1351
1030,-42,-802,1284
1031,50,-806,1213
1032,155,-811,1139
1033,254,-816,1063
1034,314,-821,984
1035,396,-825,903
1036,440,-829,829
1037,478,-831,769
1038,511,-833,721
1039,561,-836,684
1040,605,-837,658
1041,621,-839,644
1042,637,-840,640
1043,664,-838,645
1044,697,-827,655
1045,730,-797,667
1046,802,-743,681
1047,862,-672,697
1048,944,-598,714
1049,1015,-538,731
1050,1037,-497,747
1051,1032,-474,764
1052,1032,-462,784
1053,922,-459,809
1054,780,-460,840
1055,653,-463,875
1056,462,-468,910
1057,292,-475,942
1058,144,-487,970
1059,78,-502,996
1060,7,-519,1018
1061,-97,-540,1035
1062,-157,-561,1048
1063,-113,-586,1058
1064,-146,-613,1062
1065,-223,-641,1059
1066,-245,-670,1049
1067,-218,-698,1034
1068,-190,-725,1015
1069,-185,-749,992
1070,-218,-768,967
1071,-163,-779,939
1072,-201,-783,909
1073,-207,-781,876
1074,-146,-776,840
1075,-108,-771,802
1076,-119,-767,759
1077,-124,-765,708
1078,-75,-764,650
1079,-130,-765,586
1080,-64,-765,519
1081,-234,-765,450
1082,-897,-764,379
1083,-32768,-763,306
1084,-32768,-764,234
1085,-32768,-766,166
1086,-32768,-770,101
1087,-1330,-774,39
1088,-667,-779,-18
1089,-349,-783,-70
1090,-146,-787,-116
1091,-53,-791,-158
1092,61,-795,-195
1093,100,-800,-226
1094,50,-804,-252
1095,-36,-808,-274
1096,28,-813,-293
1097,45,-817,-310
1098,23,-822,-325
1099,-9,-825,-338
1100,-36,-828,-348
1101,-75,-831,-353
1102,-86,-833,-353
1103,-119,-834,-350
1104,-91,-830,-342
1105,-102,-816,-327
1106,-58,-783,-307
1107,-31,-725,-282
1108,45,-646,-253
1109,72,-565,-220
1110,100,-500,-184
1111,116,-458,-145
1112,182,-434,-106
1113,188,-422,-70
1114,133,-417,-36
1115,12,-417,-4
1116,-97,-419,26
1117,-272,-422,53
1118,-470,-428,77
1119,-547,-438,99
1120,-661,-452,118
1121,-766,-469,133
1122,-870,-489,145
1123,-919,-511,154
1124,-1007,-535,161
1125,-1012,-562,168
1126,-996,-591,175
1127,-974,-622,183
1128,-952,-653,192
1129,-935,-683,205
1130,-996,-712,221
1131,-1062,-737,240
1132,-990,-757,261
1133,-941,-769,284
1134,-881,-774,309
1135,-810,-772,336
1136,-760,-769,366
1137,-694,-767,402
1138,-645,-765,444
1139,-585,-765,490
1140,-448,-767,540
1141,-157,-769,593
1142,78,-772,650
1143,-59,-773,709
1144,-722,-775,771
1145,-1550,-779,836
1146,-32768,-784,904
1147,-32768,-790,974
1148,-612,-795,1043
1149,549,-802,1108
1150,1553,-808,1169
1151,2045,-815,1227
1152,2047,-822,1286
1153,2047,-829,1350
1154,2005,-834,1418
1155,1690,-840,1489
1156,1366,-844,1561
1157,1120,-848,1632
1158,922,-851,1702
1159,747,-854,1772
1160,719,-857,1842
1161,686,-860,1912
1162,642,-864,1983
1163,659,-868,2047
1164,659,-872,2047
1165,615,-875,2047
1166,594,-877,2047
1167,550,-872,2047
1168,511,-854,2047
1169,484,-812,2047
1170,489,-750,2047
1171,577,-677,2047
1172,626,-611,2047
1173,670,-561,2047
1174,675,-528,2047
1175,659,-508,2047
1176,626,-498,2047
1177,561,-494,2047
1178,385,-496,2047
1179,210,-500,2047
1180,89,-505,2047
1181,34,-514,2047
1182,-80,-525,2047
1183,-168,-541,2047
1184,-256,-560,2047
1185,-262,-582,2047
1186,-289,-605,2047
1187,-321,-631,2047
1188,-338,-658,2047
1189,-327,-686,2047
1190,-267,-713,2047
1191,-201,-739,2047
1192,-146,-761,2047
1193,-119,-779,2047
1194,-130,-790,2047
1195,-119,-794,2047
1196,-97,-791,2045
1197,-97,-786,1944
1198,-64,-779,1840
1199,-80,-775,1733
1200,-58,-771,1623
1201,-47,-768,1509
1202,-42,-765,1393
1203,-14,-764,1274
1204,-250,-761,1157
1205,-969,-760,1045
1206,-32768,-760,938
1207,-32768,-761,835
1208,-32768,-762,735
1209,-32768,-764,636
1210,-1314,-766,537
1211,-645,-768,439
1212,-283,-769,343
1213,-25,-770,250
1214,144,-772,159
1215,276,-775,71
1216,352,-779,-15
1217,418,-783,-100
1218,423,-787,-183
1219,445,-793,-265
1220,473,-799,-343
1221,489,-805,-417
1222,495,-812,-487
1223,506,-819,-553
1224,506,-825,-615
1225,522,-832,-673
1226,550,-837,-727
1227,594,-840,-778
1228,616,-836,-827
1229,670,-818,-874
1230,725,-778,-920
1231,802,-713,-964
1232,868,-636,-1006
1233,939,-563,-1045
1234,993,-509,-1081
1235,1059,-474,-1114
1236,1087,-454,-1146
1237,1026,-443,-1178
1238,960,-440,-1210
1239,846,-440,-1242
1240,664,-443,-1273
1241,489,-447,-1302
1242,336,-455,-1328
1243,243,-466,-1353
1244,193,-482,-1377
1245,122,-500,-1402
1246,83,-520,-1428
1247,61,-543,-1454
1248,34,-568,-1481
1249,7,-595,-1508
1250,2,-622,-1535
1251,23,-650,-1562
1252,61,-676,-1587
1253,56,-703,-1609
1254,67,-727,-1628
1255,67,-747,-1644
1256,61,-759,-1657
1257,67,-765,-1667
1258,67,-765,-1675
1259,56,-765,-1680
1260,67,-763,-1684
1261,61,-762,-1689
1262,67,-762,-1694
1263,83,-764,-1700
1264,111,-766,-1705
1265,72,-768,-1708
1266,-322,-770,-1709
1267,-1138,-772,-1708
1268,-32768,-774,-1707
1269,-32768,-776,-1707
1270,-32768,-779,-1709
1271,-32768,-783,-1711
1272,-892,-788,-1714
